t|lon|lat|id|v
2699|23.68063333333333|37.93083333333333|11|-0.0,0.0
2700|23.605906666666666|37.81921333333333|54|-8.94415,6.4033
2701|23.5226|37.86125000000001|13|0.0,-0.0
2702|23.606256666666663|37.81878500000001|54|-9.11945,6.15107
2703|23.628338333333332|37.94255833333333|32|0.0,-0.0
2703|23.59493|37.95515|15|-0.0,-0.0
2703|23.68308333333333|37.92899|16|0.0,-0.0
2704|23.61306666666667|37.95856666666667|38|0.0,-0.0
2705|23.62270333333333|37.94086333333333|19|-0.09336,0.03584
2706|23.606946666666666|37.817916666666655|54|-9.41337,5.88205
2707|23.523236666666666|37.89040666666666|29|0.0196,-0.09806
2708|23.61303333333333|37.9586|38|0.0,-0.0
2709|23.589675|37.95232833333333|21|0.0,0.0
2710|23.607261666666666|37.81746833333333|54|-9.5359,5.48331
2711|23.61301666666667|37.95861666666666|38|0.0,-0.0
2712|23.59619|37.95677166666667|23|0.02874,0.09578
2713|23.61303333333333|37.9586|38|0.0,-0.0
2714|23.60788166666667|37.81651333333333|54|-9.85478,5.10816
2715|23.613000000000003|37.95868333333333|38|0.0,-0.0
2716|23.55|37.87262166666667|31|0.0,-0.0
2717|23.61301666666667|37.958666666666666|38|0.0,-0.0
2718|23.61305|37.95865|38|0.0,-0.0
2719|23.53035|38.015883333333335|43|0.0,-0.0
2720|23.60905|37.81473666666667|54|-9.8098,4.97672
2721|23.61306666666667|37.958666666666666|38|0.0,-0.0
2722|23.60934166666667|37.81427333333333|54|-9.9338,4.95273
2723|23.56385|37.92605|45|-0.0,-0.0
2724|23.61305|37.95868333333333|38|0.0,-0.0
2725|23.609658333333336|37.813776666666655|54|-9.8011,4.99383
2726|23.60989333333333|37.81341333333333|54|-9.74827,5.0962
2726|23.580235|37.95447|26|-0.0,-0.0
2727|23.61301666666667|37.9587|38|0.0,-0.0
2728|23.5635|37.95966666666666|0|-0.0,-0.0
2728|23.669526666666666|37.939541666666656|1|0.0,-0.0
2729|23.61303333333333|37.95865|38|0.0,-0.0
2730|23.59593333333333|37.95233333333333|3|0.0,-0.0
2731|23.61085666666667|37.811998333333335|54|-9.81888,5.17683
2732|23.61303333333333|37.95865|38|0.0,-0.0
2733|23.54436666666667|37.88375|4|0.0,-0.0
2734|23.594804999999997|37.955648333333336|2|0.0,-0.0
2735|23.611131666666665|37.81158833333333|54|-9.84585,5.12535
2735|23.56219666666667|37.91155666666667|6|0.07524,0.06587
2736|23.65041166666667|37.933203333333346|36|0.0,-0.0
2737|23.582465|37.95296|7|-0.0,0.0
2738|23.604716666666665|37.960366666666665|8|0.0,0.0
2738|23.68152666666667|37.929958333333346|9|0.0,-0.0
2739|23.61301666666667|37.958666666666666|38|0.0,-0.0
2740|23.68063333333333|37.93083333333333|11|0.0,0.0
2741|23.54823333333333|37.89708333333333|10|0.0,-0.0
2741|23.650170000000003|37.931775|14|0.0,-0.0
2742|23.61148666666667|37.81104166666667|54|-9.79237,5.01093
2743|23.61301666666667|37.95871666666667|38|0.0,-0.0
2744|23.611716666666666|37.81067666666667|54|-9.81848,4.95959
2745|23.613000000000003|37.95875|38|0.0,-0.0
2746|23.68308333333333|37.928988333333336|16|-0.0,0.0
2747|23.66826833333333|37.93811333333333|17|0.0,-0.0
2748|23.61204|37.81017333333333|54|-9.91645,4.98738
2749|23.613000000000003|37.95875|38|0.0,-0.0
2750|23.622705|37.940865|19|0.0,0.0
2750|23.54521333333333|38.02378|58|0.0,-0.0
2751|23.58871666666667|37.955566666666655|18|0.0,-0.0
2752|23.52320833333333|37.8904|29|0.0196,-0.09806
2753|23.61298333333333|37.95875|38|0.0,-0.0
2754|23.551505|37.95451333333333|20|0.09178,-0.03971
2755|23.589655|37.95228833333333|21|0.0,0.0
2756|23.61265333333333|37.80921|54|-9.90773,5.00468
2757|23.50556833333333|37.84714333333333|22|0.0,-0.0
2757|23.61296666666667|37.958733333333335|38|0.0,-0.0
2758|23.596193333333336|37.95678|23|-0.11896,-0.16077
2759|23.61288333333333|37.808843333333336|54|-9.81848,4.95959
2760|23.61296666666667|37.9587|38|0.0,-0.0
2761|23.613204999999997|37.80834|54|-9.79237,5.01093
2762|23.613000000000003|37.958666666666666|38|0.0,-0.0
2763|23.613505|37.80788666666667|54|-9.78361,5.02802
2764|23.61301666666667|37.958666666666666|38|0.0,-0.0
2765|23.61380666666667|37.80743333333333|54|-9.766,5.06214
2766|23.61303333333333|37.95865|38|0.0,-0.0
2767|23.61303333333333|37.958666666666666|38|0.0,-0.0
2768|23.61305|37.95868333333333|38|0.0,-0.0
2769|23.614685|37.806115000000005|54|-9.85478,5.10816
2770|23.563816666666664|37.92605|45|-0.0,-0.0
2770|23.61303333333333|37.95868333333333|38|0.0,-0.0
2771|23.615005|37.805609999999994|54|-9.78361,5.02802
2771|23.585605|37.956021666666665|25|-0.05373,0.08434
2772|23.61303333333333|37.9587|38|0.0,-0.0
2773|23.6153|37.805155|54|-9.77482,5.04508
2773|23.58023666666667|37.95446833333333|26|-0.0,0.0
2774|23.61301666666667|37.9587|38|0.0,-0.0
2775|23.64866666666667|37.933|35|0.02079,-0.09781
2776|23.613000000000003|37.9587|38|0.0,-0.0
2777|23.564183333333336|37.960291666666656|27|-0.0,0.0
2778|23.5635|37.95966666666666|0|0.0,0.0
2779|23.66953333333333|37.93954|1|0.0,-0.0
2780|23.61620333333333|37.803785|54|-9.8279,5.15969
2781|23.59588333333333|37.9524|3|0.0,-0.0
2782|23.54441666666667|37.88373333333333|4|0.0,-0.0
2783|23.55352333333333|37.889866666666656|28|-0.0,0.0
2784|23.616491666666665|37.80332833333333|54|-9.8011,4.99383
2785|23.582445|37.95296166666667|7|-0.0,0.0
2786|23.604716666666665|37.96038333333333|8|0.0,0.0
2786|23.56228833333333|37.911545|6|0.0,0.0
2786|23.68152666666667|37.929956666666655|9|-0.0,-0.0
2787|23.61301666666667|37.9587|38|0.0,-0.0
2788|23.68063333333333|37.93083333333333|11|-0.0,0.0
2789|23.61680833333333|37.802825|54|-9.83573,4.92529
2790|23.61301666666667|37.95868333333333|38|0.0,-0.0
2791|23.522623333333332|37.861358333333335|13|0.0996,-0.00889
2792|23.594926666666666|37.95515|15|0.0,0.0
2793|23.61303333333333|37.958666666666666|38|0.0,-0.0
2794|23.68308666666667|37.92899|16|0.0,-0.0
2795|23.668275|37.938136666666665|17|0.0,-0.0
2796|23.62832333333333|37.942591666666665|32|0.0,-0.0
2797|23.61737166666667|37.80196|54|-9.78361,5.02802
2798|23.61305|37.958666666666666|38|0.0,-0.0
2799|23.622711666666664|37.94087|19|0.0,0.0
2800|23.52321166666667|37.890325|29|0.0196,-0.09806
2801|23.61305|37.95865|38|0.0,-0.0
2802|23.58960333333333|37.952298333333346|21|0.0,0.0
2803|23.61305|37.95861666666666|38|0.0,-0.0
2804|23.61303333333333|37.95863333333333|38|0.0,-0.0
2805|23.508535000000002|37.86638166666667|40|0.0,-0.0
2806|23.61303333333333|37.95865|38|0.0,-0.0
2807|23.550005|37.87261166666666|31|-0.0,0.0
2808|23.61303333333333|37.958666666666666|38|0.0,-0.0
2809|23.61913|37.79922833333333|54|-9.79237,5.01093
2810|23.61303333333333|37.95868333333333|38|0.0,-0.0
2811|23.57384333333333|37.960053333333335|12|-0.0,0.0
2812|23.61301666666667|37.9587|38|0.0,-0.0
2813|23.59618833333333|37.95679166666665|23|0.0,-0.0
2814|23.62003|37.797815|54|-9.85286,4.89093
2815|23.5638|37.92606666666666|45|-0.0,-0.0
2815|23.613000000000003|37.95871666666667|38|0.0,-0.0
2816|23.620285000000006|37.79740500000001|54|-9.85286,4.89093
2817|23.574325|37.961195000000004|42|-0.0,0.0
2818|23.613000000000003|37.95871666666667|38|0.0,-0.0
2819|23.613000000000003|37.95871666666667|38|0.0,-0.0
2820|23.64866666666667|37.933|35|-0.00523,0.09986
2821|23.6209|37.796453333333346|54|-9.78361,5.02802
2822|23.613000000000003|37.95871666666667|38|0.0,-0.0
2823|23.56420333333333|37.96033833333333|27|-0.0,0.0
2824|23.669529999999998|37.939541666666656|1|0.0,-0.0
2825|23.613000000000003|37.95871666666667|38|0.0,-0.0
2826|23.595866666666666|37.95245|3|0.0,-0.0
2827|23.613000000000003|37.95871666666667|38|0.0,-0.0
2828|23.54443333333333|37.8837|4|0.0,-0.0
2829|23.53540333333333|37.893229999999996|5|-0.0,-0.0
2829|23.594855|37.95565166666667|2|0.0,-0.0
2830|23.65041666666667|37.93322833333333|36|0.0,-0.0
2831|23.56237833333333|37.911501666666666|6|0.0,0.0
2832|23.68152666666667|37.929956666666655|9|0.0,0.0
2833|23.604716666666665|37.96038333333333|8|0.0,0.0
2833|23.613000000000003|37.95875|38|0.0,-0.0
2834|23.54821666666667|37.89711666666667|10|0.0,-0.0
2835|23.68063333333333|37.93083333333333|11|-0.0,0.0
2836|23.650170000000003|37.93177666666666|14|0.0,0.0
2837|23.53864166666667|38.024143333333335|47|-0.02739,-0.09617
2837|23.613000000000003|37.958766666666655|38|0.0,-0.0
2838|23.522606666666665|37.8614|13|0.09285,-0.03714
2839|23.594925|37.95514833333333|15|0.0,0.0
2839|23.613000000000003|37.95875|38|0.0,-0.0
2840|23.68308666666667|37.92899333333333|16|0.0,-0.0
2841|23.62832333333333|37.942591666666665|32|0.0,-0.0
2842|23.66828|37.93812000000001|17|0.0,-0.0
2843|23.61301666666667|37.958733333333335|38|0.0,-0.0
2844|23.622706666666666|37.94086833333333|19|0.0,-0.0
2845|23.58873333333333|37.955566666666655|18|0.0,-0.0
2846|23.52321333333333|37.89027333333333|29|0.0,-0.0
2847|23.55588333333333|38.03876666666667|56|0.0,0.0
2848|23.589631666666666|37.95229666666667|21|0.0,0.0
2849|23.505645|37.84714833333333|22|0.0,-0.0
2850|23.62347166666667|37.79242|54|-9.79689,4.77818
2851|23.613000000000003|37.9587|38|0.0,-0.0
2852|23.50851|37.86643166666667|40|0.0,-0.0
2853|23.613000000000003|37.95871666666667|38|0.0,-0.0
2854|23.550011666666666|37.87260666666667|31|-0.0,0.0
2855|23.62407333333333|37.791465|54|-9.83573,4.92529
2856|23.57114666666667|37.96017666666667|30|0.0,-0.0
2856|23.613000000000003|37.958733333333335|38|0.0,-0.0
2857|23.62430833333333|37.79110333333333|54|-9.70335,4.96538
2858|23.60312166666667|37.95513666666667|24|0.0,-0.0
2859|23.61303333333333|37.95871666666667|38|0.0,-0.0
2860|23.62460333333333|37.79065333333333|54|-9.66845,5.033
2861|23.57384333333333|37.960055|12|0.0,-0.0
2862|23.624903333333336|37.790203333333345|54|-9.65965,5.04987
2863|23.59617833333333|37.95677333333333|23|0.05678,0.08231
2864|23.585615|37.95599666666667|25|-0.0,0.0
2865|23.61301666666667|37.95865|38|0.0,-0.0
2866|23.58023666666667|37.95447333333333|26|-0.0,0.0
2867|23.61301666666667|37.95865|38|0.0,-0.0
2868|23.61301666666667|37.958666666666666|38|0.0,-0.0
2869|23.626385000000006|37.78789166666665|54|-9.70335,4.96538
2870|23.5635|37.95966666666666|0|0.0,-0.0
2871|23.669526666666666|37.939545|1|0.0,-0.0
2872|23.62665|37.787485|54|-9.69467,4.98231
2872|23.55354|37.88993833333333|28|-0.04099,0.09121
2873|23.61301666666667|37.958666666666666|38|0.0,-0.0
2874|23.54443333333333|37.88365|4|0.0,-0.0
2875|23.535421666666664|37.89322|5|-0.0,-0.0
2876|23.650406666666665|37.93322|36|0.0,-0.0
2877|23.62694166666667|37.78703333333333|54|-9.72062,4.93148
2878|23.58244166666667|37.95297333333333|7|-0.0,0.0
2878|23.68152666666667|37.929955|9|0.0,0.0
2879|23.61301666666667|37.958666666666666|38|0.0,-0.0
2880|23.54818333333333|37.8971|10|0.0,-0.0
2880|23.68063333333333|37.93083333333333|11|-0.0,0.0
2881|23.61301666666667|37.958666666666666|38|0.0,-0.0
2882|23.53459|38.01137000000001|52|0.0,-0.0
2883|23.564275|37.961304999999996|41|-0.0,-0.0
2884|23.522561666666665|37.86142666666667|13|0.07266,-0.06871
2885|23.594925|37.955145|15|-0.0,-0.0
2885|23.61301666666667|37.958666666666666|38|0.0,-0.0
2886|23.683085|37.928995|16|-0.0,-0.0
2887|23.66828333333333|37.93813|17|0.0,-0.0
2888|23.62833|37.942571666666666|32|0.0,-0.0
2889|23.62271333333333|37.940873333333336|19|0.07547,-0.0656
2889|23.61301666666667|37.958666666666666|38|0.0,-0.0
2890|23.58873333333333|37.955566666666655|18|0.0,-0.0
2891|23.52318833333333|37.89031833333333|29|0.0196,-0.09806
2892|23.58966333333333|37.95229166666665|21|0.0,0.0
2893|23.61301666666667|37.958666666666666|38|0.0,-0.0
2894|23.61301666666667|37.958666666666666|38|0.0,-0.0
2895|23.61301666666667|37.958666666666666|38|0.0,-0.0
2896|23.55001833333333|37.872605|31|-0.0,0.0
2897|23.61301666666667|37.958666666666666|38|0.0,-0.0
2898|23.64866666666667|37.933|35|-0.08746,0.04848
2898|23.60311333333333|37.955153333333335|24|0.0,-0.0
2899|23.61301666666667|37.958666666666666|38|0.0,-0.0
2900|23.61301666666667|37.958666666666666|38|0.0,-0.0
2901|23.61301666666667|37.958666666666666|38|0.0,-0.0
2902|23.61301666666667|37.958666666666666|38|0.0,-0.0
2903|23.70435666666667|37.913601666666665|50|-0.0,-0.0
2904|23.563816666666664|37.926116666666665|45|-0.0,-0.0
2905|23.574305|37.96116833333333|42|0.0,-0.0
2906|23.61301666666667|37.958666666666666|38|0.0,-0.0
2907|23.518833333333333|38.026833333333336|34|0.05878,-0.0809
2908|23.58023666666667|37.954476666666665|26|-0.0,0.0
2909|23.61301666666667|37.958666666666666|38|0.0,-0.0
2910|23.61301666666667|37.958666666666666|38|0.0,-0.0
2911|23.5635|37.95966666666666|0|0.0,-0.0
2912|23.669526666666666|37.939541666666656|1|0.0,-0.0
2912|23.61301666666667|37.958666666666666|38|0.0,-0.0
2913|23.59593333333333|37.952383333333344|3|-0.0,0.0
2914|23.61303333333333|37.958666666666666|38|0.0,-0.0
2915|23.54443333333333|37.883633333333336|4|0.0,-0.0
2916|23.65039833333333|37.933236666666666|36|0.0,-0.0
2916|23.59485333333333|37.95564|2|0.0,-0.0
2917|23.53538666666667|37.89326000000001|5|-0.04242,-0.09056
2918|23.58245166666667|37.952955|7|-0.0,0.0
2919|23.56234166666667|37.911598333333345|6|0.0,-0.0
2920|23.604750000000006|37.9604|8|0.0,0.0
2921|23.5482|37.8971|10|0.0,-0.0
2922|23.65016666666667|37.931779999999996|14|0.0,-0.0
2923|23.564275|37.96131833333333|41|-0.0,-0.0
2924|23.594925|37.95514666666666|15|0.0,0.0
2925|23.61303333333333|37.958666666666666|38|0.0,-0.0
2926|23.683085|37.92899333333333|16|0.0,0.0
2927|23.66829|37.93812000000001|17|0.0,-0.0
2928|23.62833|37.942585|32|0.0,-0.0
2929|23.622711666666664|37.940873333333336|19|0.07547,0.06561
2930|23.58873333333333|37.955566666666655|18|0.0,-0.0
2931|23.52323166666667|37.89033|29|0.0196,-0.09806
2932|23.61301666666667|37.958666666666666|38|0.0,-0.0
2933|23.55143833333333|37.95453166666667|20|0.09178,-0.03971
2934|23.505498333333332|37.847153333333345|22|0.0,-0.0
2935|23.508515|37.86640166666667|40|-0.0,-0.0
2936|23.613000000000003|37.958666666666666|38|0.0,-0.0
2937|23.550023333333336|37.87260666666667|31|0.0,0.0
2938|23.613000000000003|37.958666666666666|38|0.0,-0.0
2939|23.60315166666667|37.955115|24|0.0,-0.0
2940|23.61301666666667|37.95868333333333|38|0.0,-0.0
2941|23.61301666666667|37.95868333333333|38|0.0,-0.0
2942|23.53035|38.01595|43|0.0,-0.0
2943|23.596175|37.95678833333333|23|0.0,0.0
2944|23.61301666666667|37.95868333333333|38|0.0,-0.0
2945|23.58564833333333|37.956021666666665|25|0.0,-0.0
2946|23.61301666666667|37.95868333333333|38|0.0,-0.0
2947|23.61301666666667|37.95868333333333|38|0.0,-0.0
2948|23.61301666666667|37.95868333333333|38|0.0,-0.0
2949|23.5635|37.95966666666666|0|0.0,0.0
2950|23.61301666666667|37.95868333333333|38|0.0,-0.0
2951|23.669528333333336|37.93953333333333|1|0.0,-0.0
2952|23.595866666666666|37.9525|3|-0.0,0.0
